id_commande,date_commande,client_nom,categorie,produit,quantite,prix_unitaire,chiffre_affaires,pays,mode_livraison
CMD-1001,2024-01-05,TechCorp,Électronique,Écran 27 pouces,5,250.00,1250.00,France,Express
CMD-1002,2024-01-08,DataConsult,Logiciels,Licence Annuelle,2,499.00,998.00,France,Standard
CMD-1003,2024-01-12,AeroSpace SAS,Électronique,Clavier Mécanique,10,85.00,850.00,Belgique,Express
CMD-1004,2024-01-15,Global Retail,Mobilier,Chaise Ergonomique,4,210.00,840.00,Suisse,Standard
CMD-1005,2024-01-20,TechCorp,Services,Audit Sécurité,1,1500.00,1500.00,France,Express
CMD-1006,2024-02-02,InnoLab,Électronique,Casque Réduction Bruit,8,180.00,1440.00,Belgique,Standard
CMD-1007,2024-02-10,FinTech SA,Mobilier,Bureau Assis-Debout,3,650.00,1950.00,Luxembourg,Express
CMD-1008,2024-02-14,AeroSpace SAS,Services,Formation Cloud,2,800.00,1600.00,Belgique,Standard
CMD-1009,2024-02-18,Global Retail,Électronique,Webcam HD,15,60.00,900.00,Suisse,Express
CMD-1010,2024-02-25,DataConsult,Logiciels,Module IA Analytics,3,1200.00,3600.00,France,Express
CMD-1011,2024-03-01,BioHealth,Mobilier,Chaise Ergonomique,6,210.00,1260.00,France,Standard
CMD-1012,2024-03-05,TechCorp,Électronique,Écran 27 pouces,4,250.00,1000.00,France,Express
CMD-1013,2024-03-12,FinTech SA,Services,Audit Sécurité,2,1500.00,3000.00,Luxembourg,Express
CMD-1014,2024-03-18,InnoLab,Logiciels,Licence Annuelle,5,499.00,2495.00,Belgique,Standard
CMD-1015,2024-03-22,Global Retail,Électronique,Clavier Mécanique,12,85.00,1020.00,Suisse,Standard
